Species;Latitude;Longitude
Boophis doulioti;-22.2167;43.33
Heterixalus luteostriatus;-22.2167;43.33
Laliostoma labrosum;-22.2167;43.33
Ptychadena mascareniensis;-22.2167;43.33
Scaphiophryne brevis;-22.2167;43.33
Boophis doulioti;-21.875;43.3767
Heterixalus luteostriatus;-21.875;43.3767
Laliostoma labrosum;-21.875;43.3767
Ptychadena mascareniensis;-21.875;43.3767
Scaphiophryne brevis;-21.875;43.3767
Boophis doulioti;-22.8;43.4333
Heterixalus luteostriatus;-22.8;43.4333
Laliostoma labrosum;-22.8;43.4333
Ptychadena mascareniensis;-22.8;43.4333
Scaphiophryne brevis;-22.8;43.4333
Boophis doulioti;-22.265;43.4783
Heterixalus luteostriatus;-22.265;43.4783
Laliostoma labrosum;-22.265;43.4783
Ptychadena mascareniensis;-22.265;43.4783
Scaphiophryne brevis;-22.265;43.4783
Boophis doulioti;-22.7783;43.5233
Heterixalus luteostriatus;-22.7783;43.5233
Laliostoma labrosum;-22.7783;43.5233
Ptychadena mascareniensis;-22.7783;43.5233
Scaphiophryne brevis;-22.7783;43.5233
Laliostoma labrosum;-23.11849;43.60981
Scaphiophryne brevis;-23.141643;43.614636
Scaphiophryne brevis;-23.141643;43.614636
Scaphiophryne brevis;-23.1203;43.6156
Scaphiophryne brevis;-23.1203;43.6156
Laliostoma labrosum;-23.15;43.6167
Scaphiophryne brevis;-23.15;43.6167
Laliostoma labrosum;-23.15;43.617
Laliostoma labrosum;-23.15;43.617
Laliostoma labrosum;-23.15;43.617
Boophis doulioti;-23.13686;43.61907
Boophis doulioti;-23.13686;43.61907
Scaphiophryne brevis;-23.1266;43.634
Scaphiophryne brevis;-23.6554;43.6501
Scaphiophryne brevis;-23.6554;43.6501
Boophis doulioti;-21.8667;43.66
Heterixalus luteostriatus;-21.8667;43.66
Laliostoma labrosum;-21.8667;43.66
Ptychadena mascareniensis;-21.8667;43.66
Scaphiophryne brevis;-21.8667;43.66
Ptychadena mascareniensis;-23.3537;43.6633
Boophis doulioti;-23.35;43.6667
Boophis doulioti;-23.35;43.6667
Boophis doulioti;-23.35;43.6667
Boophis doulioti;-23.35;43.6667
Ptychadena mascareniensis;-23.35;43.6667
Ptychadena mascareniensis;-23.35;43.6667
Ptychadena mascareniensis;-23.35;43.6667
Ptychadena mascareniensis;-23.35;43.6667
Ptychadena mascareniensis;-23.35;43.6667
Ptychadena mascareniensis;-23.35;43.6667
Ptychadena mascareniensis;-23.35;43.6667
Ptychadena mascareniensis;-23.35;43.6667
Ptychadena mascareniensis;-23.35;43.6667
Ptychadena mascareniensis;-23.35;43.6667
Ptychadena mascareniensis;-23.35;43.6667
Ptychadena mascareniensis;-23.35;43.6667
Ptychadena mascareniensis;-23.35;43.6667
Ptychadena mascareniensis;-23.35;43.6667
Ptychadena mascareniensis;-23.35;43.6667
Ptychadena mascareniensis;-23.35;43.6667
Ptychadena mascareniensis;-23.35;43.6667
Ptychadena mascareniensis;-23.35;43.6667
Ptychadena mascareniensis;-23.35;43.6667
Ptychadena mascareniensis;-23.35;43.6667
Scaphiophryne brevis;-23.35;43.6667
Ptychadena mascareniensis;-23.35;43.68
Scaphiophryne brevis;-23.35;43.68
Laliostoma labrosum;-23.39488;43.73742
Laliostoma labrosum;-23.39488;43.73742
Laliostoma labrosum;-23.39488;43.73742
Laliostoma labrosum;-23.39488;43.73742
Laliostoma labrosum;-23.39488;43.73742
Laliostoma labrosum;-23.39488;43.73742
Laliostoma labrosum;-23.39488;43.73742
Laliostoma labrosum;-23.39488;43.73742
Laliostoma labrosum;-23.39488;43.73742
Laliostoma labrosum;-23.39488;43.73742
Laliostoma labrosum;-23.39488;43.73742
Laliostoma labrosum;-23.39488;43.73742
Laliostoma labrosum;-23.39488;43.73742
Laliostoma labrosum;-23.39488;43.73742
Laliostoma labrosum;-23.39488;43.73742
Laliostoma labrosum;-23.39488;43.73742
Laliostoma labrosum;-23.39488;43.73742
Laliostoma labrosum;-23.39488;43.73742
Laliostoma labrosum;-23.39488;43.73742
Dyscophus insularis;-24.05;43.75
Laliostoma labrosum;-24.05;43.75
Ptychadena mascareniensis;-24.05;43.75
Scaphiophryne brevis;-24.05;43.75
Scaphiophryne brevis;-23.4135;43.7548
Scaphiophryne brevis;-23.4135;43.7548
Scaphiophryne brevis;-23.4135;43.7548
Scaphiophryne brevis;-23.4135;43.7548
Scaphiophryne brevis;-23.4135;43.7548
Scaphiophryne brevis;-23.4135;43.7548
Scaphiophryne brevis;-23.4135;43.7548
Scaphiophryne brevis;-23.4135;43.7548
Scaphiophryne brevis;-23.4135;43.7548
Scaphiophryne brevis;-23.4135;43.7548
Scaphiophryne brevis;-23.4135;43.7548
Scaphiophryne brevis;-23.4135;43.7548
Scaphiophryne brevis;-23.4135;43.7548
Scaphiophryne brevis;-23.4135;43.7548
Scaphiophryne brevis;-23.4135;43.7548
Dyscophus insularis;-24.1883;43.765
Laliostoma labrosum;-24.1883;43.765
Ptychadena mascareniensis;-24.1883;43.765
Scaphiophryne brevis;-24.1883;43.765
Scaphiophryne brevis;-23.5975;43.7886
Scaphiophryne brevis;-23.5975;43.7886
Scaphiophryne brevis;-23.5975;43.7886
Scaphiophryne brevis;-23.5975;43.7886
Dyscophus insularis;-24.1113;43.839
Ptychadena mascareniensis;-24.1113;43.839
Ptychadena mascareniensis;-24.3983;43.8467
Scaphiophryne brevis;-24.3983;43.8467
Boophis xerophilus;-20.9433;43.8717
Dyscophus insularis;-20.9433;43.8717
Heterixalus carbonei;-20.9433;43.8717
Laliostoma labrosum;-20.9433;43.8717
Scaphiophryne brevis;-20.9433;43.8717
Scaphiophryne obscura;-20.9433;43.8717
Laliostoma labrosum;-21.453;43.875
Laliostoma labrosum;-21.453;43.875
Dyscophus insularis;-24.0083;43.8983
Laliostoma labrosum;-24.0083;43.8983
Ptychadena mascareniensis;-24.0083;43.8983
Scaphiophryne brevis;-24.0083;43.8983
Laliostoma labrosum;-21.779;43.978
Laliostoma labrosum;-21.779;43.978
Dyscophus insularis;-21.78;43.9783
Dyscophus insularis;-21.78;43.9783
Dyscophus insularis;-21.78;43.9783
Dyscophus insularis;-21.78;43.9783
Dyscophus insularis;-21.78;43.9783
Dyscophus insularis;-21.78;43.9783
Dyscophus insularis;-21.78;43.9783
Dyscophus insularis;-21.78;43.9783
Heterixalus luteostriatus;-21.78;43.9783
Heterixalus luteostriatus;-21.78;43.9783
Heterixalus luteostriatus;-21.78;43.9783
Heterixalus luteostriatus;-21.78;43.9783
Heterixalus luteostriatus;-21.78;43.9783
Laliostoma labrosum;-21.78;43.9783
Laliostoma labrosum;-21.78;43.9783
Laliostoma labrosum;-21.78;43.9783
Laliostoma labrosum;-21.78;43.9783
Laliostoma labrosum;-21.78;43.9783
Ptychadena mascareniensis;-21.78;43.9783
Ptychadena mascareniensis;-21.78;43.9783
Ptychadena mascareniensis;-21.78;43.9783
Ptychadena mascareniensis;-21.78;43.9783
Ptychadena mascareniensis;-21.78;43.9783
Scaphiophryne brevis;-21.78;43.9783
Scaphiophryne brevis;-21.78;43.9783
Scaphiophryne brevis;-21.78;43.9783
Scaphiophryne brevis;-21.78;43.9783
Scaphiophryne brevis;-21.78;43.9783
Laliostoma labrosum;-23.2833;43.9833
Dyscophus insularis;-20.73597;44.00874
Dyscophus insularis;-20.73597;44.00874
Dyscophus insularis;-20.73597;44.00874
Scaphiophryne brevis;-20.73597;44.00874
Ptychadena mascareniensis;-24.7367;44.03
Scaphiophryne brevis;-24.7367;44.03
Laliostoma labrosum;-21.946;44.046
Laliostoma labrosum;-21.946;44.046
Laliostoma labrosum;-21.946;44.046
Laliostoma labrosum;-21.9467;44.0467
Laliostoma labrosum;-21.9467;44.0467
Laliostoma labrosum;-21.9467;44.0467
Laliostoma labrosum;-21.9467;44.0467
Laliostoma labrosum;-21.9467;44.0467
Laliostoma labrosum;-21.9467;44.0467
Mantella betsileo;-21.9467;44.0467
Mantella betsileo;-21.9467;44.0467
Mantella betsileo;-21.9467;44.0467
Mantella betsileo;-21.9467;44.0467
Mantella betsileo;-21.9467;44.0467
Mantidactylus mahery;-21.9467;44.0467
Mantidactylus mahery;-21.9467;44.0467
Mantidactylus mahery;-21.9467;44.0467
Mantidactylus mahery;-21.9467;44.0467
Mantidactylus mahery;-21.9467;44.0467
Mantidactylus mahery;-21.9467;44.0467
Mantidactylus mahery;-21.9467;44.0467
Mantidactylus mahery;-21.9467;44.0467
Mantidactylus mahery;-21.9467;44.0467
Ptychadena mascareniensis;-21.9467;44.0467
Ptychadena mascareniensis;-21.9467;44.0467
Ptychadena mascareniensis;-21.9467;44.0467
Ptychadena mascareniensis;-21.9467;44.0467
Ptychadena mascareniensis;-21.9467;44.0467
Ptychadena mascareniensis;-21.9467;44.0467
Ptychadena mascareniensis;-21.9467;44.0467
Scaphiophryne brevis;-21.9467;44.0467
Scaphiophryne brevis;-21.9467;44.0467
Scaphiophryne brevis;-21.9467;44.0467
Scaphiophryne brevis;-21.9467;44.0467
Scaphiophryne brevis;-21.9467;44.0467
Scaphiophryne brevis;-21.9467;44.0467
Boophis doulioti;-23.4667;44.05
Boophis doulioti;-23.4667;44.05
Laliostoma labrosum;-23.4667;44.05
Ptychadena mascareniensis;-23.4667;44.05
Ptychadena mascareniensis;-23.4667;44.05
Boophis doulioti;-23.5;44.0667
Laliostoma labrosum;-23.5;44.0667
Ptychadena mascareniensis;-23.5;44.0667
Scaphiophryne brevis;-23.5;44.0667
Blommersia bara;-17.5333;44.0833
Boophis doulioti;-17.5333;44.0833
Boophis occidentalis;-17.5333;44.0833
Dyscophus insularis;-17.5333;44.0833
Heterixalus luteostriatus;-17.5333;44.0833
Heterixalus tricolor;-17.5333;44.0833
Laliostoma labrosum;-17.5333;44.0833
Mantella betsileo;-17.5333;44.0833
Ptychadena mascareniensis;-17.5333;44.0833
Scaphiophryne obscura;-17.5333;44.0833
Boophis xerophilus;-20.7883;44.1017
Dyscophus insularis;-20.7883;44.1017
Heterixalus carbonei;-20.7883;44.1017
Laliostoma labrosum;-20.7883;44.1017
Scaphiophryne brevis;-20.7883;44.1017
Scaphiophryne obscura;-20.7883;44.1017
Boophis xerophilus;-20.79;44.1467
Dyscophus insularis;-20.79;44.1467
Heterixalus carbonei;-20.79;44.1467
Laliostoma labrosum;-20.79;44.1467
Scaphiophryne brevis;-20.79;44.1467
Scaphiophryne obscura;-20.79;44.1467
Boophis doulioti;-23.525;44.1533
Laliostoma labrosum;-23.525;44.1533
Ptychadena mascareniensis;-23.525;44.1533
